Line#,Date,Time,"Pressure (S-BPA 10945459:2263803-1), mbar, UCFC-Field","Rain (S-RGA 10945459:10160298-1), mm, UCFC-Field Rain","PAR (S-LIA 10945459:2287369-1), uE, UCFC-Field PAR","Temperature (S-THB 10945459:2308813-1), *C, UCFC-Field Air Temp","Dew Point (S-THB 10945459:2308813-3), *C, UCFC-Field DewPt","RH (S-THB 10945459:2308813-2), %, UCFC-Field RH","Wind Speed (S-WCA 10945459:9668869-1), m/s, UCFC-Field Wind Speed","Gust Speed (S-WCA 10945459:9668869-2), m/s, UCFC-Field Gust Speed","Wind Direction (S-WCA 10945459:9668869-3), *, UCFC-Field Wind Dir","Temperature (S-TMB 10945459:2288366-1), *C, UCFC-Field Soil Temp","Battery (RX3000 BATTERY 10945459:10945459-B), V, UCFC-Field Batt","Wind Direction (S-WCA 10945459:9668869-3), *, UCFC-Field","Rain (S-RGA 10945459:10160298-1), mm, UCFC-Field","Battery (RX3000 BATTERY 10945459:10945459-B), V, UCFC-Field","Wind Speed (S-WCA 10945459:9668869-1), m/s, UCFC-Field","Gust Speed (S-WCA 10945459:9668869-2), m/s, UCFC-Field","RH (S-THB 10945459:2308813-2), %, UCFC-Field","Dew Point (S-THB 10945459:2308813-3), *C, UCFC-Field","Temperature (S-THB 10945459:2308813-1), *C, UCFC-Field","Temperature (S-TMB 10945459:2288366-1), *C, UCFC-Field","Temperature (S-TMB 10945459:2288366-1), *C, UCFC-Field Temp air","PAR (S-LIA 10945459:2287369-1), uE, UCFC-Field"
1034,05/26/17,02:35:00,,,,,,,,,,,4.293,,,,,,,,,,,
1035,05/26/17,02:40:00,,,,,,,,,,,4.299,,,,,,,,,,,
1036,05/26/17,02:45:00,987.8,0.0,1,11.86,11.67,98.70,0.0,0.0,135,14.46,4.305,,,,,,,,,,,
1037,05/26/17,02:50:00,,,,,,,,,,,4.308,,,,,,,,,,,
1038,05/26/17,02:55:00,,,,,,,,,,,4.311,,,,,,,,,,,
1039,05/26/17,03:00:00,987.9,0.0,1,11.52,11.35,98.80,0.0,0.0,135,14.31,4.302,,,,,,,,,,,
1040,05/26/17,03:05:00,,,,,,,,,,,4.295,,,,,,,,,,,
1041,05/26/17,03:10:00,,,,,,,,,,,4.299,,,,,,,,,,,
1042,05/26/17,03:15:00,987.8,0.0,1,11.47,11.31,98.90,0.0,0.2,135,14.19,4.305,,,,,,,,,,,
1043,05/26/17,03:20:00,,,,,,,,,,,4.308,,,,,,,,,,,
1044,05/26/17,03:25:00,,,,,,,,,,,4.310,,,,,,,,,,,
1045,05/26/17,03:30:00,987.9,0.0,1,11.18,11.01,98.80,0.0,0.2,135,14.05,4.298,,,,,,,,,,,
1046,05/26/17,03:35:00,,,,,,,,,,,4.293,,,,,,,,,,,
1047,05/26/17,03:40:00,,,,,,,,,,,4.298,,,,,,,,,,,
1048,05/26/17,03:45:00,987.7,0.0,1,11.13,11.02,99.20,0.0,0.0,135,13.95,4.302,,,,,,,,,,,
1049,05/26/17,03:50:00,,,,,,,,,,,4.307,,,,,,,,,,,
1050,05/26/17,03:55:00,,,,,,,,,,,4.308,,,,,,,,,,,
1051,05/26/17,04:00:00,988.0,0.0,1,11.00,10.88,99.10,0.0,0.0,135,13.86,4.296,,,,,,,,,,,
1052,05/26/17,04:05:00,,,,,,,,,,,4.290,,,,,,,,,,,
1053,05/26/17,04:10:00,,,,,,,,,,,4.296,,,,,,,,,,,
1054,05/26/17,04:15:00,988.1,0.0,1,10.79,10.66,99.10,0.0,0.0,135,13.74,4.302,,,,,,,,,,,
1055,05/26/17,04:20:00,,,,,,,,,,,4.305,,,,,,,,,,,
1056,05/26/17,04:25:00,,,,,,,,,,,4.307,,,,,,,,,,,
1057,05/26/17,04:30:00,988.2,0.0,1,11.18,11.08,99.30,0.0,0.0,135,13.67,4.296,,,,,,,,,,,
1058,05/26/17,04:35:00,,,,,,,,,,,4.289,,,,,,,,,,,
1059,05/26/17,04:40:00,,,,,,,,,,,4.295,,,,,,,,,,,
1060,05/26/17,04:45:00,988.4,0.0,1,10.66,10.55,99.20,0.0,0.0,135,13.52,4.301,,,,,,,,,,,
1061,05/26/17,04:50:00,,,,,,,,,,,4.304,,,,,,,,,,,
1062,05/26/17,04:55:00,,,,,,,,,,,4.305,,,,,,,,,,,
1063,05/26/17,05:00:00,988.6,0.0,1,10.64,10.53,99.20,0.0,0.0,135,13.43,4.296,,,,,,,,,,,
1064,05/26/17,05:05:00,,,,,,,,,,,4.290,,,,,,,,,,,
1065,05/26/17,05:10:00,,,,,,,,,,,4.296,,,,,,,,,,,
1066,05/26/17,05:15:00,988.7,0.0,1,11.15,11.06,99.30,0.0,0.0,135,13.35,4.301,,,,,,,,,,,
1067,05/26/17,05:20:00,,,,,,,,,,,4.304,,,,,,,,,,,
1068,05/26/17,05:25:00,,,,,,,,,,,4.305,,,,,,,,,,,
1069,05/26/17,05:30:00,988.8,0.0,1,10.79,10.69,99.30,0.0,0.0,135,13.28,4.295,,,,,,,,,,,
1070,05/26/17,05:35:00,,,,,,,,,,,4.287,,,,,,,,,,,
1071,05/26/17,05:40:00,,,,,,,,,,,4.292,,,,,,,,,,,
1072,05/26/17,05:45:00,988.9,0.0,1,10.47,10.39,99.40,0.0,0.0,135,13.18,4.298,,,,,,,,,,,
1073,05/26/17,05:50:00,,,,,,,,,,,4.302,,,,,,,,,,,
1074,05/26/17,05:55:00,,,,,,,,,,,4.305,,,,,,,,,,,
1075,05/26/17,06:00:00,989.1,0.0,1,10.20,10.12,99.40,0.0,0.0,135,13.06,4.293,,,,,,,,,,,
1076,05/26/17,06:05:00,,,,,,,,,,,4.286,,,,,,,,,,,
1077,05/26/17,06:10:00,,,,,,,,,,,4.292,,,,,,,,,,,
1078,05/26/17,06:15:00,989.3,0.0,4,9.78,9.69,99.30,0.0,0.0,135,13.02,4.299,,,,,,,,,,,
1079,05/26/17,06:20:00,,,,,,,,,,,4.302,,,,,,,,,,,
1080,05/26/17,06:25:00,,,,,,,,,,,4.304,,,,,,,,,,,
1081,05/26/17,06:30:00,989.5,0.0,21,10.03,9.98,99.60,0.0,0.0,135,12.97,4.293,,,,,,,,,,,
1082,05/26/17,06:35:00,,,,,,,,,,,4.286,,,,,,,,,,,
1083,05/26/17,06:40:00,,,,,,,,,,,4.293,,,,,,,,,,,
1084,05/26/17,06:45:00,989.9,0.0,61,10.47,10.40,99.50,0.0,0.0,135,13.09,4.302,,,,,,,,,,,
1085,05/26/17,06:50:00,,,,,,,,,,,4.308,,,,,,,,,,,
1086,05/26/17,06:55:00,,,,,,,,,,,4.313,,,,,,,,,,,
1087,05/26/17,07:00:00,990.1,0.0,84,10.98,10.95,99.70,0.0,0.0,135,13.26,4.302,,,,,,,,,,,
1088,05/26/17,07:05:00,,,,,,,,,,,4.296,,,,,,,,,,,
1089,05/26/17,07:10:00,,,,,,,,,,,4.305,,,,,,,,,,,
1090,05/26/17,07:15:00,990.3,0.0,91,11.86,11.81,99.60,0.0,0.2,135,13.45,4.313,,,,,,,,,,,
1091,05/26/17,07:20:00,,,,,,,,,,,4.320,,,,,,,,,,,
1092,05/26/17,07:25:00,,,,,,,,,,,4.325,,,,,,,,,,,
1093,05/26/17,07:30:00,990.3,0.0,141,12.10,12.08,99.80,0.0,0.0,135,13.62,4.313,,,,,,,,,,,
1094,05/26/17,07:35:00,,,,,,,,,,,4.305,,,,,,,,,,,
1095,05/26/17,07:40:00,,,,,,,,,,,4.314,,,,,,,,,,,
1096,05/26/17,07:45:00,990.7,0.0,336,12.77,12.76,99.80,0.0,0.0,135,13.88,4.331,,,,,,,,,,,
1097,05/26/17,07:50:00,,,,,,,,,,,4.343,,,,,,,,,,,
1098,05/26/17,07:55:00,,,,,,,,,,,4.356,,,,,,,,,,,
1099,05/26/17,08:00:00,990.6,0.0,424,13.98,13.98,99.90,0.0,0.9,180,14.22,4.350,,,,,,,,,,,
1100,05/26/17,08:05:00,,,,,,,,,,,4.347,,,,,,,,,,,
1101,05/26/17,08:10:00,,,,,,,,,,,4.359,,,,,,,,,,,
1102,05/26/17,08:15:00,990.7,0.0,436,14.58,14.56,99.80,0.0,0.2,184,14.62,4.379,,,,,,,,,,,
1103,05/26/17,08:20:00,,,,,,,,,,,4.389,,,,,,,,,,,
1104,05/26/17,08:25:00,,,,,,,,,,,4.405,,,,,,,,,,,
1105,05/26/17,08:30:00,990.8,0.0,514,15.49,15.44,99.60,0.0,1.1,184,14.91,4.402,,,,,,,,,,,
1106,05/26/17,08:35:00,,,,,,,,,,,4.402,,,,,,,,,,,
1107,05/26/17,08:40:00,,,,,,,,,,,4.420,,,,,,,,,,,
1108,05/26/17,08:45:00,990.9,0.0,809,15.87,15.71,98.90,0.2,0.9,184,15.37,4.439,,,,,,,,,,,
1109,05/26/17,08:50:00,,,,,,,,,,,4.463,,,,,,,,,,,
1110,05/26/17,08:55:00,,,,,,,,,,,4.478,,,,,,,,,,,
1111,05/26/17,09:00:00,991.0,0.0,801,16.99,16.43,96.40,0.2,0.9,243,17.42,4.469,,,,,,,,,,,
1112,05/26/17,09:05:00,,,,,,,,,,,4.469,,,,,,,,,,,
1113,05/26/17,09:10:00,,,,,,,,,,,4.483,,,,,,,,,,,
1114,05/26/17,09:15:00,990.9,0.0,919,18.70,17.48,92.50,0.2,0.7,264,19.01,4.489,,,,,,,,,,,
1115,05/26/17,09:20:00,,,,,,,,,,,4.492,,,,,,,,,,,
1116,05/26/17,09:25:00,,,,,,,,,,,4.492,,,,,,,,,,,
1117,05/26/17,09:30:00,991.1,0.0,"1,056",19.13,17.33,89.20,0.4,0.9,260,20.20,4.478,,,,,,,,,,,
1118,05/26/17,09:35:00,,,,,,,,,,,4.474,,,,,,,,,,,
1119,05/26/17,09:40:00,,,,,,,,,,,4.486,,,,,,,,,,,
1120,05/26/17,09:45:00,991.3,0.0,"1,149",19.96,17.57,86.00,0.4,1.3,260,21.27,4.493,,,,,,,,,,,
1121,05/26/17,09:50:00,,,,,,,,,,,4.495,,,,,,,,,,,
1122,05/26/17,09:55:00,,,,,,,,,,,4.495,,,,,,,,,,,
1123,05/26/17,10:00:00,991.3,0.0,"1,179",20.15,17.44,84.30,0.4,1.1,254,23.06,4.480,,,,,,,,,,,
1124,05/26/17,10:05:00,,,,,,,,,,,4.477,,,,,,,,,,,
1125,05/26/17,10:10:00,,,,,,,,,,,4.489,,,,,,,,,,,
1126,05/26/17,10:15:00,990.9,0.0,"1,356",21.87,18.58,81.50,0.4,0.9,212,24.58,4.495,,,,,,,,,,,
1127,05/26/17,10:20:00,,,,,,,,,,,4.496,,,,,,,,,,,
1128,05/26/17,10:25:00,,,,,,,,,,,4.496,,,,,,,,,,,
1129,05/26/17,10:30:00,990.7,0.0,"1,349",22.30,18.22,77.60,0.4,1.1,216,24.68,4.483,,,,,,,,,,,
1130,05/26/17,10:35:00,,,,,,,,,,,4.481,,,,,,,,,,,
1131,05/26/17,10:40:00,,,,,,,,,,,4.495,,,,,,,,,,,
1132,05/26/17,10:45:00,990.8,0.0,"1,429",22.56,18.53,77.90,0.4,1.1,250,24.53,4.496,,,,,,,,,,,
1133,05/26/17,10:50:00,,,,,,,,,,,4.498,,,,,,,,,,,
1134,05/26/17,10:55:00,,,,,,,,,,,4.496,,,,,,,,,,,
1135,05/26/17,11:00:00,991.0,0.0,"1,259",23.30,19.13,77.30,0.4,1.5,243,24.70,4.486,,,,,,,,,,,
1136,05/26/17,11:05:00,,,,,,,,,,,4.484,,,,,,,,,,,
1137,05/26/17,11:10:00,,,,,,,,,,,4.493,,,,,,,,,,,
1138,05/26/17,11:15:00,990.8,0.0,864,23.69,19.25,76.10,0.6,1.9,227,26.16,4.496,,,,,,,,,,,
1139,05/26/17,11:20:00,,,,,,,,,,,4.496,,,,,,,,,,,
1140,05/26/17,11:25:00,,,,,,,,,,,4.496,,,,,,,,,,,
1141,05/26/17,11:30:00,991.0,0.0,"1,804",23.45,19.82,80.00,0.6,2.4,160,27.41,4.487,,,,,,,,,,,
1142,05/26/17,11:35:00,,,,,,,,,,,4.487,,,,,,,,,,,
1143,05/26/17,11:40:00,,,,,,,,,,,4.495,,,,,,,,,,,
1144,05/26/17,11:45:00,991.2,0.0,"1,416",23.38,18.93,76.00,0.4,1.3,145,26.72,4.496,,,,,,,,,,,
1145,05/26/17,11:50:00,,,,,,,,,,,4.496,,,,,,,,,,,
1146,05/26/17,11:55:00,,,,,,,,,,,4.496,,,,,,,,,,,
1147,05/26/17,12:00:00,991.3,0.0,"1,539",23.23,19.10,77.50,0.7,1.7,154,28.05,4.487,,,,,,,,,,,
1148,05/26/17,12:05:00,,,,,,,,,,,4.487,,,,,,,,,,,
1149,05/26/17,12:10:00,,,,,,,,,,,4.495,,,,,,,,,,,
1150,05/26/17,12:15:00,991.1,0.0,"1,779",24.17,20.30,78.90,0.6,2.2,154,29.41,4.496,,,,,,,,,,,
1151,05/26/17,12:20:00,,,,,,,,,,,4.496,,,,,,,,,,,
1152,05/26/17,12:25:00,,,,,,,,,,,4.496,,,,,,,,,,,
1153,05/26/17,12:30:00,990.9,0.0,"1,954",25.43,20.28,73.10,0.6,2.2,139,32.25,4.487,,,,,,,,,,,
1154,05/26/17,12:35:00,,,,,,,,,,,4.486,,,,,,,,,,,
1155,05/26/17,12:40:00,,,,,,,,,,,4.496,,,,,,,,,,,
1156,05/26/17,12:45:00,990.5,0.0,826,24.77,18.89,69.70,0.7,3.0,128,32.56,4.498,,,,,,,,,,,
1157,05/26/17,12:50:00,,,,,,,,,,,4.498,,,,,,,,,,,
1158,05/26/17,12:55:00,,,,,,,,,,,4.498,,,,,,,,,,,
1159,05/26/17,13:00:00,990.3,0.0,"1,301",25.28,19.78,71.50,0.6,2.0,126,32.51,4.493,,,,,,,,,,,
1160,05/26/17,13:05:00,,,,,,,,,,,4.492,,,,,,,,,,,
1161,05/26/17,13:10:00,,,,,,,,,,,4.496,,,,,,,,,,,
1162,05/26/17,13:15:00,990.1,0.0,"1,974",25.99,19.81,68.70,0.6,1.3,192,34.73,4.498,,,,,,,,,,,
1163,05/26/17,13:20:00,,,,,,,,,,,4.498,,,,,,,,,,,
1164,05/26/17,13:25:00,,,,,,,,,,,4.498,,,,,,,,,,,
1165,05/26/17,13:30:00,989.8,0.0,"2,106",26.30,20.92,72.20,0.6,1.9,263,35.56,4.493,,,,,,,,,,,
1166,05/26/17,13:35:00,,,,,,,,,,,4.493,,,,,,,,,,,
1167,05/26/17,13:40:00,,,,,,,,,,,4.498,,,,,,,,,,,
1168,05/26/17,13:45:00,989.6,0.0,"1,924",26.60,19.53,65.10,0.6,1.5,209,36.47,4.498,,,,,,,,,,,
1169,05/26/17,13:50:00,,,,,,,,,,,4.499,,,,,,,,,,,
1170,05/26/17,13:55:00,,,,,,,,,,,4.498,,,,,,,,,,,
1171,05/26/17,14:00:00,989.2,0.0,"1,924",26.84,18.92,61.80,0.7,3.0,178,37.04,4.496,,,,,,,,,,,
1172,05/26/17,14:05:00,,,,,,,,,,,4.495,,,,,,,,,,,
1173,05/26/17,14:10:00,,,,,,,,,,,4.498,,,,,,,,,,,
1174,05/26/17,14:15:00,989.0,0.0,"2,136",27.06,20.91,69.00,0.6,1.5,220,36.31,4.499,,,,,,,,,,,
1175,05/26/17,14:20:00,,,,,,,,,,,4.499,,,,,,,,,,,
1176,05/26/17,14:25:00,,,,,,,,,,,4.499,,,,,,,,,,,
1177,05/26/17,14:30:00,989.1,0.0,861,26.13,20.05,69.10,0.6,1.5,215,32.90,4.495,,,,,,,,,,,
1178,05/26/17,14:35:00,,,,,,,,,,,4.495,,,,,,,,,,,
1179,05/26/17,14:40:00,,,,,,,,,,,4.499,,,,,,,,,,,
1180,05/26/17,14:45:00,988.9,0.0,"1,826",27.36,20.52,66.20,0.6,1.5,195,35.80,4.499,,,,,,,,,,,
1181,05/26/17,14:50:00,,,,,,,,,,,4.499,,,,,,,,,,,
1182,05/26/17,14:55:00,,,,,,,,,,,4.499,,,,,,,,,,,
1183,05/26/17,15:00:00,989.0,0.0,"1,056",26.52,19.60,65.70,0.6,1.3,97,32.82,4.493,,,,,,,,,,,
1184,05/26/17,15:05:00,,,,,,,,,,,4.493,,,,,,,,,,,
1185,05/26/17,15:10:00,,,,,,,,,,,4.499,,,,,,,,,,,
1186,05/26/17,15:15:00,988.9,0.0,"1,614",27.04,19.47,63.20,0.6,1.9,146,31.51,4.499,,,,,,,,,,,
1187,05/26/17,15:20:00,,,,,,,,,,,4.499,,,,,,,,,,,
1188,05/26/17,15:25:00,,,,,,,,,,,4.499,,,,,,,,,,,
1189,05/26/17,15:30:00,988.8,0.0,"1,574",27.97,19.88,61.40,0.4,0.9,190,31.66,4.495,,,,,,,,,,,
1190,05/26/17,15:35:00,,,,,,,,,,,4.495,,,,,,,,,,,
1191,05/26/17,15:40:00,,,,,,,,,,,4.499,,,,,,,,,,,
1192,05/26/17,15:45:00,988.9,0.0,"1,486",27.65,19.66,61.70,0.6,1.1,166,30.92,4.499,,,,,,,,,,,
1193,05/26/17,15:50:00,,,,,,,,,,,4.499,,,,,,,,,,,
1194,05/26/17,15:55:00,,,,,,,,,,,4.501,,,,,,,,,,,
1195,05/26/17,16:00:00,988.9,0.0,"1,566",27.80,20.21,63.30,0.6,1.9,74,32.15,4.493,,,,,,,,,,,
1196,05/26/17,16:05:00,,,,,,,,,,,4.493,,,,,,,,,,,
1197,05/26/17,16:10:00,,,,,,,,,,,4.499,,,,,,,,,,,
1198,05/26/17,16:15:00,988.7,0.0,"1,469",28.17,20.54,63.20,0.6,1.5,204,32.18,4.501,,,,,,,,,,,
1199,05/26/17,16:20:00,,,,,,,,,,,4.501,,,,,,,,,,,
1200,05/26/17,16:25:00,,,,,,,,,,,4.501,,,,,,,,,,,
1201,05/26/17,16:30:00,988.4,0.0,"1,396",27.68,19.76,62.00,0.6,1.3,220,32.20,4.496,,,,,,,,,,,
1202,05/26/17,16:35:00,,,,,,,,,,,4.496,,,,,,,,,,,
1203,05/26/17,16:40:00,,,,,,,,,,,4.499,,,,,,,,,,,
1204,05/26/17,16:45:00,988.7,0.0,"1,324",27.60,19.66,61.90,0.6,1.7,184,32.77,4.499,,,,,,,,,,,
1205,05/26/17,16:50:00,,,,,,,,,,,4.501,,,,,,,,,,,
1206,05/26/17,16:55:00,,,,,,,,,,,4.501,,,,,,,,,,,
1207,05/26/17,17:00:00,988.5,0.0,"1,229",27.38,19.71,62.90,0.6,1.9,227,32.66,4.496,,,,,,,,,,,
1208,05/26/17,17:05:00,,,,,,,,,,,4.496,,,,,,,,,,,
1209,05/26/17,17:10:00,,,,,,,,,,,4.499,,,,,,,,,,,
1210,05/26/17,17:15:00,988.7,0.0,"1,319",27.78,19.19,59.50,0.6,1.7,128,32.98,4.499,,,,,,,,,,,
1211,05/26/17,17:20:00,,,,,,,,,,,4.499,,,,,,,,,,,
1212,05/26/17,17:25:00,,,,,,,,,,,4.501,,,,,,,,,,,
1213,05/26/17,17:30:00,988.6,0.0,"1,074",26.57,19.43,64.80,0.6,1.3,145,31.87,4.495,,,,,,,,,,,
1214,05/26/17,17:35:00,,,,,,,,,,,4.493,,,,,,,,,,,
1215,05/26/17,17:40:00,,,,,,,,,,,4.499,,,,,,,,,,,
1216,05/26/17,17:45:00,988.4,0.0,961,26.96,19.22,62.50,0.6,1.1,191,31.48,4.499,,,,,,,,,,,
1217,05/26/17,17:50:00,,,,,,,,,,,4.499,,,,,,,,,,,
1218,05/26/17,17:55:00,,,,,,,,,,,4.499,,,,,,,,,,,
1219,05/26/17,18:00:00,988.3,0.0,869,27.36,20.07,64.40,0.4,1.1,232,30.24,4.493,,,,,,,,,,,
1220,05/26/17,18:05:00,,,,,,,,,,,4.493,,,,,,,,,,,
1221,05/26/17,18:10:00,,,,,,,,,,,4.499,,,,,,,,,,,
1222,05/26/17,18:15:00,988.2,0.0,861,26.89,19.88,65.40,0.6,1.3,168,29.02,4.499,,,,,,,,,,,
1223,05/26/17,18:20:00,,,,,,,,,,,4.499,,,,,,,,,,,
1224,05/26/17,18:25:00,,,,,,,,,,,4.499,,,,,,,,,,,
1225,05/26/17,18:30:00,988.4,0.0,474,26.23,19.33,65.70,0.4,0.9,198,27.73,4.480,,,,,,,,,,,
1226,05/26/17,18:35:00,,,,,,,,,,,4.466,,,,,,,,,,,
1227,05/26/17,18:40:00,,,,,,,,,,,4.468,,,,,,,,,,,
1228,05/26/17,18:45:00,988.4,0.0,204,24.87,18.75,68.70,0.4,1.3,295,26.55,4.469,,,,,,,,,,,
1229,05/26/17,18:50:00,,,,,,,,,,,4.469,,,,,,,,,,,
1230,05/26/17,18:55:00,,,,,,,,,,,4.468,,,,,,,,,,,
1231,05/26/17,19:00:00,988.4,0.0,174,24.03,18.60,71.60,0.4,1.3,164,25.74,4.450,,,,,,,,,,,
1232,05/26/17,19:05:00,,,,,,,,,,,4.436,,,,,,,,,,,
1233,05/26/17,19:10:00,,,,,,,,,,,4.442,,,,,,,,,,,
1234,05/26/17,19:15:00,987.8,0.0,191,23.45,18.79,75.00,0.4,0.7,341,25.21,4.457,,,,,,,,,,,
1235,05/26/17,19:20:00,,,,,,,,,,,4.468,,,,,,,,,,,
1236,05/26/17,19:25:00,,,,,,,,,,,4.477,,,,,,,,,,,
1237,05/26/17,19:30:00,988.3,0.0,171,23.45,19.19,76.90,0.2,0.7,340,25.11,4.465,,,,,,,,,,,
1238,05/26/17,19:35:00,,,,,,,,,,,4.450,,,,,,,,,,,
1239,05/26/17,19:40:00,,,,,,,,,,,4.456,,,,,,,,,,,
1240,05/26/17,19:45:00,987.9,0.0,149,23.33,18.90,76.10,0.2,0.6,340,24.87,4.466,,,,,,,,,,,
1241,05/26/17,19:50:00,,,,,,,,,,,4.468,,,,,,,,,,,
1242,05/26/17,19:55:00,,,,,,,,,,,4.460,,,,,,,,,,,
1243,05/26/17,20:00:00,988.4,0.0,41,22.70,18.84,78.70,0.0,0.6,340,24.05,4.433,,,,,,,,,,,
1244,05/26/17,20:05:00,,,,,,,,,,,4.414,,,,,,,,,,,
1245,05/26/17,20:10:00,,,,,,,,,,,4.406,,,,,,,,,,,
1246,05/26/17,20:15:00,988.4,0.0,36,21.49,18.25,81.70,0.0,0.2,340,23.38,4.406,,,,,,,,,,,
1247,05/26/17,20:20:00,,,,,,,,,,,4.405,,,,,,,,,,,
1248,05/26/17,20:25:00,,,,,,,,,,,4.405,,,,,,,,,,,
1249,05/26/17,20:30:00,988.2,0.0,24,21.10,18.34,84.10,0.0,0.4,340,23.06,4.391,,,,,,,,,,,
1250,05/26/17,20:35:00,,,,,,,,,,,4.380,,,,,,,,,,,
1251,05/26/17,20:40:00,,,,,,,,,,,4.383,,,,,,,,,,,
1252,05/26/17,20:45:00,988.1,0.0,6,21.03,18.49,85.30,0.0,0.4,340,22.80,4.386,,,,,,,,,,,
1253,05/26/17,20:50:00,,,,,,,,,,,4.388,,,,,,,,,,,
1254,05/26/17,20:55:00,,,,,,,,,,,4.386,,,,,,,,,,,
1255,05/26/17,21:00:00,988.1,0.0,1,21.10,18.47,84.80,0.0,0.6,340,22.68,4.374,,,,,,,,,,,
1256,05/26/17,21:05:00,,,,,,,,,,,4.365,,,,,,,,,,,
1257,05/26/17,21:10:00,,,,,,,,,,,4.371,,,,,,,,,,,
1258,05/26/17,21:15:00,988.0,0.0,1,21.15,18.40,84.20,0.0,0.7,340,22.58,4.376,,,,,,,,,,,
1259,05/26/17,21:20:00,,,,,,,,,,,4.377,,,,,,,,,,,
1260,05/26/17,21:25:00,,,,,,,,,,,4.377,,,,,,,,,,,
1261,05/26/17,21:30:00,988.1,0.0,1,21.17,18.69,85.60,0.0,0.6,340,22.44,4.364,,,,,,,,,,,
1262,05/26/17,21:35:00,,,,,,,,,,,4.359,,,,,,,,,,,
1263,05/26/17,21:40:00,,,,,,,,,,,4.365,,,,,,,,,,,
1264,05/26/17,21:45:00,988.1,0.0,1,21.20,18.20,82.90,0.2,0.7,340,22.32,4.370,,,,,,,,,,,
1265,05/26/17,21:50:00,,,,,,,,,,,4.371,,,,,,,,,,,
1266,05/26/17,21:55:00,,,,,,,,,,,4.373,,,,,,,,,,,
1267,05/26/17,22:00:00,987.9,0.0,1,21.63,18.62,82.90,0.2,0.7,344,22.20,4.362,,,,,,,,,,,
1268,05/26/17,22:05:00,,,,,,,,,,,4.355,,,,,,,,,,,
1269,05/26/17,22:10:00,,,,,,,,,,,4.359,,,,,,,,,,,
1270,05/26/17,22:15:00,988.3,0.0,1,21.41,18.72,84.50,0.2,1.1,343,22.08,4.365,,,,,,,,,,,
1271,05/26/17,22:20:00,,,,,,,,,,,4.368,,,,,,,,,,,
1272,05/26/17,22:25:00,,,,,,,,,,,4.370,,,,,,,,,,,
1273,05/26/17,22:30:00,988.4,0.0,1,21.20,18.60,85.00,0.2,0.7,341,21.99,4.359,,,,,,,,,,,
1274,05/26/17,22:35:00,,,,,,,,,,,4.352,,,,,,,,,,,
1275,05/26/17,22:40:00,,,,,,,,,,,4.358,,,,,,,,,,,
1276,05/26/17,22:45:00,988.8,0.0,1,21.20,18.54,84.70,0.2,0.6,341,21.87,4.364,,,,,,,,,,,
1277,05/26/17,22:50:00,,,,,,,,,,,4.365,,,,,,,,,,,
1278,05/26/17,22:55:00,,,,,,,,,,,4.367,,,,,,,,,,,
1279,05/26/17,23:00:00,988.6,0.0,1,21.15,18.68,85.70,0.2,1.1,337,21.72,4.356,,,,,,,,,,,
1280,05/26/17,23:05:00,,,,,,,,,,,4.350,,,,,,,,,,,
1281,05/26/17,23:10:00,,,,,,,,,,,4.355,,,,,,,,,,,
1282,05/26/17,23:15:00,988.8,0.0,1,20.91,18.73,87.20,0.0,0.9,314,21.68,4.361,,,,,,,,,,,
1283,05/26/17,23:20:00,,,,,,,,,,,4.364,,,,,,,,,,,
1284,05/26/17,23:25:00,,,,,,,,,,,4.365,,,,,,,,,,,
1285,05/26/17,23:30:00,989.0,0.0,1,21.01,18.79,87.00,0.0,0.7,345,21.60,4.353,,,,,,,,,,,
1286,05/26/17,23:35:00,,,,,,,,,,,4.347,,,,,,,,,,,
1287,05/26/17,23:40:00,,,,,,,,,,,4.355,,,,,,,,,,,
1288,05/26/17,23:45:00,988.4,0.0,1,20.89,19.07,89.20,0.0,0.6,345,21.53,4.359,,,,,,,,,,,
1289,05/26/17,23:50:00,,,,,,,,,,,4.362,,,,,,,,,,,
1290,05/26/17,23:55:00,,,,,,,,,,,4.364,,,,,,,,,,,
1291,05/27/17,00:00:00,988.0,0.0,1,20.48,18.72,89.50,0.0,0.4,345,21.29,4.353,,,,,,,,,,,
1292,05/27/17,00:05:00,,,,,,,,,,,4.349,,,,,,,,,,,
1293,05/27/17,00:10:00,,,,,,,,,,,4.353,,,,,,,,,,,
1294,05/27/17,00:15:00,987.6,0.0,1,20.20,18.64,90.60,0.0,0.7,345,21.06,4.358,,,,,,,,,,,
1295,05/27/17,00:20:00,,,,,,,,,,,4.359,,,,,,,,,,,
1296,05/27/17,00:25:00,,,,,,,,,,,4.362,,,,,,,,,,,
1297,05/27/17,00:30:00,987.4,0.0,1,19.91,18.46,91.20,0.2,0.6,345,20.65,4.353,,,,,,,,,,,
1298,05/27/17,00:35:00,,,,,,,,,,,4.347,,,,,,,,,,,
1299,05/27/17,00:40:00,,,,,,,,,,,4.352,,,,,,,,,,,
1300,05/27/17,00:45:00,987.6,0.0,1,19.56,18.24,92.00,0.0,1.1,348,20.34,4.356,,,,,,,,,,,
1301,05/27/17,00:50:00,,,,,,,,,,,4.359,,,,,,,,,,,
1302,05/27/17,00:55:00,,,,,,,,,,,4.362,,,,,,,,,,,
